,Question,Options,Correct Answer
0,Který svátek slaví Češi i lidé po celém světě 8. března?,"['A) Den matek.', 'B) Den učitelů.', 'C) Mezinárodní den žen.', 'D) Mezinárodní den dětí.']",C
1,Kterou přílohu tradičně jedí Češi ke smaženému kaprovi v mnoha domácnostech na Štědrý večer?,"['A) Rýži.', 'B) Těstoviny.', 'C) Bramborový salát.', 'D) Houskové knedlíky.']",C
2,"Kraslice je vejce, které se barví a zdobí. Kdy ženy a dívky dávají mužům kraslice?","['A) Na Dušičky.', 'B) Na Nový rok.', 'C) Na Štědrý den.', 'D) Na Velikonoce.']",D
3,Který státní svátek se slaví v České republice na podzim?,"['A) Den obnovy samostatného českého státu.', 'B) Den boje za svobodu a demokracii.', 'C) Den upálení mistra Jana Husa.', 'D) Den vítězství.']",B
4,"Velký pátek je svátek, který připomíná smrt Ježíše Krista. Ke kterému svátečnímu období patří Velký pátek?","['A) K Velikonocům.', 'B) K Dušičkám.', 'C) K Vánocům.', 'D) K adventu.']",A
5,"Památce zesnulých se v Česku lidově říká Dušičky. Je to den, kdy se podle české tradice zdobí hroby květinami, rozsvěcují se svíčky a vzpomíná se na zemřelé. Ve kterém období se slaví tento svátek?","['A) Na jaře.', 'B) V létě.', 'C) Na podzim.', 'D) V zimě.']",C
6,Den české státnosti je také svátkem svatého Václava. Kníže Václav z rodu Přemyslovců je patronem Čech a Moravy. Kdy se slaví Den české státnosti?,"['A) V září.', 'B) V říjnu.', 'C) V dubnu.', 'D) V květnu.']",A
7,Který den si Češi obyčejně dávají vánoční dárky?,"['A) 6. ledna.', 'B) 24. prosince.', 'C) 25. prosince.', 'D) 26. prosince.']",B
8,Kdo podle tradice nosí v Česku na Vánoce dárky?,"['A) Mrazík.', 'B) Ježíšek.', 'C) Mikuláš.', 'D) Santa Klaus.']",B
9,Který svátek ukončuje období Vánoc?,"['A) Dušičky.', 'B) Jízda králů.', 'C) Tři králové.', 'D) Svátek sv. Valentýna.']",C
10,Při jízdě osobním autem mají řidič a spolujezdci podle zákona určité povinnosti. Co musí řidič a spolujezdec dodržovat?,"['A) Musí mít zapnuté pásy.', 'B) Musí mít zavřená přední okna.', 'C) Musí mít zamčené přední dveře.', 'D) Musí mít na sobě reflexní vesty.']",A
